gene,pLI,oe_lof_upper,mis_z,oe_lof_upper_bin,obs_hom_lof
ZNF711,9.79E-01,3.05E-01,2.40E+00,1,1
SENP2,9.83E-01,3.05E-01,1.87E+00,1,0
KIT,9.81E-01,3.05E-01,2.58E+00,1,1
SMS,9.73E-01,3.05E-01,2.32E+00,1,0
CDC34,9.56E-01,3.05E-01,1.83E+00,1,0
C3,9.04E-01,3.05E-01,2.75E+00,1,0
CNOT10,9.82E-01,3.05E-01,1.78E+00,1,0
ATXN1L,9.79E-01,3.05E-01,1.08E+00,1,0
NR6A1,9.82E-01,3.05E-01,1.83E+00,1,0
KLHL10,9.79E-01,3.06E-01,2.72E+00,1,0
VDAC1,9.73E-01,3.06E-01,1.33E+00,1,0
LRRC4C,9.72E-01,3.06E-01,2.52E+00,1,0
IGF1R,9.68E-01,3.06E-01,2.73E+00,1,0
ITGB1,9.82E-01,3.06E-01,3.46E+00,1,0
COL11A2,7.02E-01,3.06E-01,2.37E+00,1,0
GABRB1,9.81E-01,3.06E-01,2.65E+00,1,0
ADCY9,9.79E-01,3.06E-01,1.25E+00,1,0
KCNQ5,9.80E-01,3.06E-01,3.32E+00,1,0
INPP5D,9.72E-01,3.06E-01,4.15E+00,1,0
FOXP4,9.82E-01,3.06E-01,1.95E+00,1,0
RP2,9.56E-01,3.06E-01,6.33E-01,1,0
ACSL4,9.81E-01,3.06E-01,2.59E+00,1,0
PARD3,9.56E-01,3.06E-01,1.04E+00,1,0
SS18L1,9.82E-01,3.06E-01,1.57E+00,1,0
INF2,9.73E-01,3.07E-01,2.31E+00,1,0
KCNK9,9.55E-01,3.07E-01,2.90E+00,1,0
SEMA3A,9.78E-01,3.07E-01,1.75E+00,1,0
AGPAT1,9.72E-01,3.07E-01,2.61E+00,1,0
HOXA13,9.55E-01,3.07E-01,5.58E-01,1,0
TSHZ2,9.81E-01,3.07E-01,6.02E-01,1,0
RPL8,9.55E-01,3.07E-01,1.75E+00,1,0
TDRD5,9.72E-01,3.07E-01,1.90E+00,1,0
DRD1,9.56E-01,3.07E-01,2.26E+00,1,0
LYST,1.50E-02,3.07E-01,1.41E+00,1,0
UNC80,5.23E-02,3.07E-01,5.53E+00,1,0
NAF1,9.78E-01,3.07E-01,-3.10E-01,1,0
PDE4A,9.82E-01,3.07E-01,2.42E+00,1,0
MITF,9.81E-01,3.08E-01,1.47E+00,1,0
CENPE,2.41E-01,3.08E-01,1.27E+00,1,0
INPP5A,9.81E-01,3.08E-01,1.78E+00,1,0
AHNAK,8.98E-01,3.08E-01,-2.97E+00,1,0
ATL1,9.81E-01,3.08E-01,2.63E+00,1,0
C16orf70,9.81E-01,3.08E-01,1.60E+00,1,0
SPDEF,9.72E-01,3.08E-01,7.97E-01,1,0
NKTR,9.40E-01,3.08E-01,1.32E+00,1,0
CLSTN1,9.78E-01,3.08E-01,1.02E+00,1,0
SCN5A,9.13E-01,3.08E-01,2.75E+00,1,0
GRIN1,9.76E-01,3.09E-01,6.22E+00,1,0
HSPE1-MOB4,9.71E-01,3.09E-01,2.77E+00,1,0
MCM6,9.78E-01,3.09E-01,1.07E+00,1,0
SNPH,9.71E-01,3.09E-01,1.51E+00,1,0
OTUB1,9.71E-01,3.09E-01,2.20E+00,1,0
RNF145,9.80E-01,3.09E-01,3.59E+00,1,0
MTSS1L,9.80E-01,3.09E-01,7.44E-01,1,0
RPS7,9.54E-01,3.09E-01,1.63E+00,1,0
NAMPT,9.79E-01,3.09E-01,2.97E+00,1,0
HIF1A,9.78E-01,3.09E-01,2.22E+00,1,0
XAB2,9.73E-01,3.09E-01,1.94E+00,1,0
PTPRK,9.03E-01,3.09E-01,3.17E+00,1,1
HNRNPH2,9.54E-01,3.09E-01,3.62E+00,1,0
PCDHGC4,9.80E-01,3.09E-01,1.97E+00,1,0
ATP5B,9.77E-01,3.09E-01,3.17E+00,1,0
TBL1X,9.79E-01,3.09E-01,2.48E+00,1,2
ZBTB17,9.79E-01,3.09E-01,3.73E+00,1,0
GLI2,9.73E-01,3.09E-01,8.17E-01,1,0
DCAF12L1,9.54E-01,3.09E-01,2.41E+00,1,0
OSBPL9,9.76E-01,3.09E-01,2.66E+00,1,0
CDC40,9.79E-01,3.10E-01,2.67E+00,1,0
MAGEE1,9.70E-01,3.10E-01,1.44E+00,1,0
NODAL,9.70E-01,3.10E-01,9.71E-01,1,0
ABHD8,9.70E-01,3.10E-01,1.80E+00,1,0
EIF2S1,9.70E-01,3.10E-01,2.86E+00,1,0
EIF3F,9.70E-01,3.10E-01,-1.08E-01,1,0
NLGN3,9.76E-01,3.10E-01,4.21E+00,1,1
PLK1,9.79E-01,3.10E-01,2.52E+00,1,0
SLC12A2,9.62E-01,3.10E-01,2.40E+00,1,0
NXF1,9.76E-01,3.10E-01,2.66E+00,1,0
XK,9.54E-01,3.10E-01,2.12E+00,1,0
FAM49B,9.76E-01,3.10E-01,3.21E+00,1,0
SLC9A3,9.78E-01,3.10E-01,2.49E+00,1,0
TOB1,9.54E-01,3.10E-01,1.45E+00,1,0
ADAMTS2,9.66E-01,3.11E-01,1.43E+00,1,0
EPS8,9.73E-01,3.11E-01,8.11E-01,1,0
TCOF1,9.54E-01,3.11E-01,3.39E-01,1,0
LAMA5,6.47E-03,3.11E-01,-2.72E-01,1,0
MDGA1,9.76E-01,3.11E-01,2.57E+00,1,0
NNT,9.73E-01,3.11E-01,2.08E+00,1,0
FOXC1,9.53E-01,3.11E-01,3.42E-01,1,0
CAPRIN1,9.72E-01,3.11E-01,1.69E+00,1,0
KIAA0355,9.73E-01,3.11E-01,1.64E+00,1,0
FBXL16,9.70E-01,3.11E-01,3.14E+00,1,0
FAM155A,9.76E-01,3.11E-01,3.07E-01,1,0
WASF2,9.76E-01,3.11E-01,1.77E+00,1,0
ZCCHC14,9.79E-01,3.11E-01,8.13E-01,1,0
ZXDB,9.53E-01,3.12E-01,9.64E-01,1,0
LRRTM3,9.75E-01,3.12E-01,1.88E+00,1,0
SCRIB,9.29E-01,3.12E-01,3.81E-01,1,0
SRGAP2,9.77E-01,3.12E-01,3.19E+00,1,0
ANKFY1,9.56E-01,3.12E-01,2.46E+00,1,0
NUCKS1,9.69E-01,3.12E-01,2.09E+00,1,0
RUNX1T1,9.78E-01,3.12E-01,2.17E+00,1,0
MAGEL2,9.75E-01,3.12E-01,-5.63E-01,1,0
LRRC8D,9.78E-01,3.12E-01,3.20E+00,1,0
COL27A1,5.86E-01,3.12E-01,6.29E-01,1,0
PLCB3,9.40E-01,3.12E-01,3.27E+00,1,0
FZD4,9.70E-01,3.12E-01,7.33E-01,1,0
EGR3,9.53E-01,3.12E-01,3.38E+00,1,0
SCD,9.70E-01,3.12E-01,2.04E+00,1,0
CXorf56,9.52E-01,3.13E-01,2.24E+00,1,0
SCUBE1,9.61E-01,3.13E-01,1.98E+00,1,0
HLF,9.52E-01,3.13E-01,2.28E+00,1,0
TBCEL,9.75E-01,3.13E-01,2.77E+00,1,0
LIMCH1,9.47E-01,3.13E-01,5.23E-01,1,0
PIP5K1C,9.77E-01,3.13E-01,2.29E+00,1,0
CTNNA1,9.70E-01,3.13E-01,3.66E+00,1,0
PTK2B,9.35E-01,3.13E-01,1.50E+00,1,0
HIVEP3,9.06E-01,3.13E-01,1.17E+00,1,0
VPS35,9.69E-01,3.13E-01,3.53E+00,1,0
ZNF512,9.77E-01,3.13E-01,2.41E+00,1,0
ARHGAP4,9.77E-01,3.13E-01,6.87E-01,1,4
ABCE1,9.74E-01,3.14E-01,4.10E+00,1,0
PTPRB,5.02E-01,3.14E-01,1.66E+00,1,0
SEMA4D,9.75E-01,3.14E-01,9.97E-01,1,0
DGKI,9.31E-01,3.14E-01,3.08E+00,1,0
FBXO21,9.75E-01,3.14E-01,2.72E+00,1,0
RNF41,9.68E-01,3.14E-01,3.00E+00,1,0
MCF2,9.72E-01,3.14E-01,1.10E+00,1,5
FBXW11,9.76E-01,3.14E-01,3.96E+00,1,0
CASC5,7.83E-01,3.14E-01,-8.13E-03,1,0
INTS8,9.44E-01,3.14E-01,2.03E+00,1,0
SQLE,9.76E-01,3.14E-01,1.14E+00,1,0
CNIH2,9.52E-01,3.14E-01,2.25E+00,1,0
HSF2,9.75E-01,3.15E-01,2.07E+00,1,0
PAN2,9.36E-01,3.15E-01,3.18E+00,1,0
TAF1L,9.62E-01,3.15E-01,-4.03E-01,1,0
TUBA1B,9.68E-01,3.15E-01,5.41E+00,1,0
FAM65A,9.49E-01,3.15E-01,1.67E+00,1,0
TUBB3,9.68E-01,3.15E-01,4.58E+00,1,0
TBX20,9.73E-01,3.15E-01,1.68E+00,1,0
PRDM11,9.74E-01,3.15E-01,1.13E+00,1,0
HMGB2,9.51E-01,3.15E-01,1.61E+00,1,0
MOB1A,9.51E-01,3.15E-01,1.65E+00,1,0
KLC2,9.75E-01,3.15E-01,2.02E+00,1,0
G2E3,9.71E-01,3.15E-01,2.13E+00,1,0
CLSTN3,9.70E-01,3.15E-01,1.50E+00,1,0
SPHKAP,9.36E-01,3.15E-01,-7.56E-01,1,0
AKT1,9.76E-01,3.15E-01,3.48E+00,1,0
NKX2-3,9.50E-01,3.16E-01,8.07E-01,1,0
YPEL2,9.50E-01,3.16E-01,1.80E+00,1,0
KBTBD6,9.73E-01,3.16E-01,2.58E+00,1,0
RPL13,9.51E-01,3.16E-01,-3.22E-01,1,0
CAPN15,9.69E-01,3.16E-01,1.77E+00,1,10
ATXN1,9.75E-01,3.16E-01,1.25E+00,1,24
EMX2,9.51E-01,3.16E-01,1.57E+00,1,0
MGEA5,9.66E-01,3.16E-01,3.00E+00,1,0
PATL1,9.64E-01,3.16E-01,2.44E+00,1,0
BRD3,9.75E-01,3.16E-01,2.64E+00,1,0
IP6K2,9.73E-01,3.16E-01,2.63E+00,1,0
RASGEF1A,9.74E-01,3.16E-01,2.66E+00,1,0
MDN1,2.16E-08,3.16E-01,2.01E+00,1,0
RAP1GAP2,9.69E-01,3.16E-01,2.23E+00,1,0
USP5,9.64E-01,3.16E-01,3.36E+00,1,0
ZBTB20,9.74E-01,3.17E-01,4.27E+00,1,0
ATG9A,9.71E-01,3.17E-01,2.60E+00,1,0
RPS6KB1,9.73E-01,3.17E-01,3.90E+00,1,0
ANO8,9.56E-01,3.17E-01,2.50E+00,1,0
TUBA1A,9.67E-01,3.17E-01,5.58E+00,1,0
VPS26B,9.67E-01,3.17E-01,2.02E+00,1,0
RNF165,9.72E-01,3.17E-01,1.94E+00,1,0
NUP62,9.50E-01,3.17E-01,6.22E-03,1,0
SLC32A1,9.67E-01,3.17E-01,2.30E+00,1,0
ZEB1,9.67E-01,3.17E-01,1.60E+00,1,0
TAF12,9.50E-01,3.17E-01,1.29E+00,1,0
LRP1B,2.53E-06,3.17E-01,1.93E+00,1,0
TRIM41,9.74E-01,3.17E-01,1.01E+00,1,0
DMTF1,9.67E-01,3.17E-01,2.20E+00,1,0
KIRREL3,9.70E-01,3.18E-01,2.35E+00,1,0
ETV6,9.74E-01,3.18E-01,1.78E+00,1,0
PSEN1,9.73E-01,3.18E-01,2.16E+00,1,0
TFDP1,9.72E-01,3.18E-01,2.28E+00,1,0
JMY,9.60E-01,3.18E-01,1.71E+00,1,0
NPAS4,9.73E-01,3.18E-01,1.52E+00,1,0
PRKACA,9.71E-01,3.18E-01,2.97E+00,1,0
RASGRP1,9.66E-01,3.18E-01,2.74E+00,1,0
SLIT3,7.52E-01,3.18E-01,1.94E+00,1,0
G6PD,9.72E-01,3.18E-01,2.00E+00,1,0
STAU2,9.73E-01,3.18E-01,1.42E+00,1,0
LRP6,6.97E-01,3.18E-01,2.75E+00,1,0
KCNN3,9.72E-01,3.19E-01,3.33E+00,1,32
HSPA9,9.69E-01,3.19E-01,1.04E+00,1,0
ZBTB12,9.49E-01,3.19E-01,3.45E+00,1,0
RBM41,9.66E-01,3.19E-01,6.83E-01,1,1
STAT2,9.31E-01,3.19E-01,2.60E+00,1,0
ELOVL6,9.66E-01,3.19E-01,3.04E+00,1,0
PPP2R5C,9.71E-01,3.19E-01,3.08E+00,1,0
SPATS2,9.72E-01,3.19E-01,7.96E-01,1,2
ZNF687,9.71E-01,3.19E-01,1.81E+00,1,0
USP12,9.71E-01,3.19E-01,2.82E+00,1,0
NPAS1,9.71E-01,3.19E-01,1.80E+00,1,0
SYNRG,9.31E-01,3.19E-01,1.44E+00,1,0
SPRED1,9.72E-01,3.19E-01,1.17E+00,1,0
MRC2,6.75E-01,3.19E-01,2.73E+00,1,0
ATG16L1,9.65E-01,3.19E-01,2.63E+00,1,0
SULT4A1,9.66E-01,3.19E-01,2.66E+00,1,0
NR3C1,9.70E-01,3.20E-01,1.84E+00,1,0
BRS3,9.48E-01,3.20E-01,9.39E-01,1,1
DIAPH1,9.15E-01,3.20E-01,1.65E+00,1,0
MON2,5.94E-01,3.20E-01,3.20E+00,1,0
WNT3A,9.65E-01,3.20E-01,2.00E+00,1,0
HIAT1,9.72E-01,3.20E-01,2.82E+00,1,0
GPRIN1,9.70E-01,3.20E-01,3.38E-01,1,8581
RGL1,9.56E-01,3.20E-01,2.22E+00,1,0
LRRN1,9.70E-01,3.20E-01,3.48E-01,1,0
FBXO5,9.70E-01,3.20E-01,8.22E-01,1,0
PAK2,9.72E-01,3.20E-01,3.40E+00,1,0
BEGAIN,9.70E-01,3.20E-01,2.24E+00,1,0
CCNE1,9.72E-01,3.20E-01,1.53E+00,1,0
KIAA0907,9.69E-01,3.20E-01,1.74E+00,1,0
CORO1A,9.70E-01,3.20E-01,2.48E+00,1,0
NBEAL2,5.98E-02,3.20E-01,2.39E+00,1,3
PPIG,9.63E-01,3.20E-01,1.72E+00,1,0
ECE1,9.60E-01,3.21E-01,2.31E+00,1,0
RANBP10,9.69E-01,3.21E-01,1.55E+00,1,0
APBB1,9.68E-01,3.21E-01,1.56E+00,1,0
CLCF1,9.48E-01,3.21E-01,1.12E+00,1,0
GATA1,9.48E-01,3.21E-01,1.14E+00,1,0
MTF1,9.69E-01,3.21E-01,2.54E+00,1,0
PIM2,9.48E-01,3.21E-01,1.34E+00,1,0
BCL11A,9.70E-01,3.22E-01,3.84E+00,1,0
FAM46C,9.48E-01,3.22E-01,1.99E+00,1,0
NOTCH3,4.08E-01,3.22E-01,3.53E+00,1,0
IDS,9.47E-01,3.22E-01,9.74E-01,1,0
SHB,9.69E-01,3.22E-01,2.41E-01,1,0
COL4A6,8.99E-01,3.22E-01,1.48E+00,1,7
SERPING1,9.64E-01,3.22E-01,1.06E+00,1,0
RPS5,9.48E-01,3.22E-01,2.79E+00,1,0
EIF2S3,9.64E-01,3.22E-01,3.61E+00,1,0
OFD1,9.60E-01,3.22E-01,3.20E-01,1,19
NUP155,6.53E-01,3.23E-01,8.08E-01,1,0
SIX3,9.47E-01,3.23E-01,2.07E+00,1,0
RBX1,9.47E-01,3.23E-01,2.38E+00,1,0
DYRK1B,9.69E-01,3.23E-01,1.85E+00,1,0
CCAR2,9.41E-01,3.23E-01,7.33E-01,1,0
ZC3H7B,9.29E-01,3.23E-01,2.87E+00,1,0
FGF9,9.47E-01,3.23E-01,1.54E+00,1,0
PRKRIR,9.68E-01,3.23E-01,2.34E+00,1,0
PVRL2,9.69E-01,3.23E-01,1.64E+00,1,0
CLTA,9.63E-01,3.23E-01,7.99E-01,1,0
SH2B1,9.69E-01,3.23E-01,6.91E-01,1,0
GLS,9.62E-01,3.23E-01,3.73E+00,1,0
ZKSCAN1,9.69E-01,3.23E-01,2.12E+00,1,0
SEMA6D,9.39E-01,3.23E-01,1.08E+00,1,0
IL13RA1,9.63E-01,3.23E-01,5.22E-01,1,1
ZCCHC8,9.66E-01,3.23E-01,2.03E+00,1,0
MAP3K8,9.68E-01,3.23E-01,2.29E+00,1,0
BABAM1,9.63E-01,3.24E-01,1.17E+00,1,0
TSC22D2,9.69E-01,3.24E-01,7.01E-01,1,0
RAB3A,9.46E-01,3.24E-01,2.32E+00,1,0
ZNF483,9.67E-01,3.24E-01,2.40E+00,1,0
CFH,8.61E-01,3.24E-01,9.97E-01,1,0
SEC16A,3.60E-01,3.24E-01,-4.72E-01,1,0
SFMBT1,9.36E-01,3.24E-01,2.05E+00,1,0
SLC5A3,9.67E-01,3.24E-01,2.76E+00,1,0
SLC5A3,9.67E-01,3.24E-01,2.76E+00,1,0
CDK13,9.08E-01,3.24E-01,2.35E+00,1,0
IGSF9B,8.66E-01,3.24E-01,2.58E+00,1,0
ACAP2,9.23E-01,3.24E-01,3.22E+00,1,0
MAP2K2,9.67E-01,3.25E-01,1.87E+00,1,0
PDCD10,9.62E-01,3.25E-01,1.43E+00,1,0
DIS3L2,9.44E-01,3.25E-01,9.44E-01,1,0
PDGFRB,9.04E-01,3.25E-01,1.84E+00,1,0
C19orf68,9.62E-01,3.25E-01,3.68E+00,1,0
ZFYVE9,9.02E-01,3.25E-01,1.80E+00,1,0
UTY,9.67E-01,3.25E-01,-1.69E-01,1,4
NCKAP1L,8.55E-01,3.25E-01,2.48E+00,1,0
BNC1,9.65E-01,3.26E-01,1.20E+00,1,0
LRRC25,9.45E-01,3.26E-01,8.07E-01,1,0
ABLIM1,9.30E-01,3.26E-01,1.62E+00,1,0
LHX6,9.66E-01,3.26E-01,2.93E+00,1,0
SLC20A2,9.65E-01,3.26E-01,2.63E+00,1,0
CLPTM1,9.58E-01,3.26E-01,2.93E+00,1,0
TRIM67,9.65E-01,3.26E-01,1.74E+00,1,0
CDC37L1,9.66E-01,3.26E-01,-1.40E-01,1,0
MAGT1,9.61E-01,3.26E-01,1.06E+00,1,0
NKX2-5,9.45E-01,3.26E-01,1.99E-01,1,0
DCLK2,9.57E-01,3.26E-01,1.76E+00,1,0
CALM1,9.45E-01,3.27E-01,3.05E+00,1,0
ELFN2,9.65E-01,3.27E-01,2.16E+00,1,0
SLC41A2,9.66E-01,3.27E-01,1.78E+00,1,0
ACTR1A,9.66E-01,3.27E-01,3.03E+00,1,0
GEMIN8,9.45E-01,3.27E-01,6.00E-01,1,0
LTBP4,4.99E-01,3.27E-01,2.35E+00,1,124210
ATG13,9.64E-01,3.28E-01,1.52E+00,1,0
CCT8,9.63E-01,3.28E-01,1.07E+00,1,0
ATXN7,9.60E-01,3.28E-01,-6.23E-01,1,0
PITPNA,9.65E-01,3.28E-01,2.44E+00,1,0
DYNC1LI1,9.63E-01,3.28E-01,1.04E+00,1,0
TSC22D1,9.60E-01,3.28E-01,-8.81E-01,1,0
R3HDM1,8.61E-01,3.28E-01,1.85E+00,1,0
FJX1,9.44E-01,3.28E-01,6.59E-01,1,0
FAM65B,9.23E-01,3.28E-01,2.37E+00,1,0
RPS11,9.44E-01,3.28E-01,1.61E+00,1,0
SKIV2L2,8.61E-01,3.28E-01,3.06E+00,1,0
MAK16,9.65E-01,3.28E-01,5.78E-01,1,0
HOXA11,9.43E-01,3.29E-01,6.68E-01,1,0
DEDD,9.59E-01,3.29E-01,2.21E+00,1,0
ZBTB7A,9.59E-01,3.29E-01,4.04E+00,1,0
BRSK2,9.51E-01,3.29E-01,2.95E+00,1,0
CDKN2AIP,9.64E-01,3.29E-01,5.39E-01,1,0
ERG,9.64E-01,3.29E-01,2.53E+00,1,0
CRK,9.59E-01,3.29E-01,2.37E+00,1,0
SYT7,9.63E-01,3.29E-01,2.21E+00,1,0
TMEM164,9.44E-01,3.29E-01,2.36E+00,1,0
FOXG1,9.44E-01,3.29E-01,3.49E+00,1,0
GTF2IRD1,9.00E-01,3.29E-01,2.66E+00,1,0
CACUL1,9.63E-01,3.30E-01,6.51E-01,1,0
RAB6B,9.59E-01,3.30E-01,2.49E+00,1,0
RARA,9.63E-01,3.30E-01,3.08E+00,1,0
BCL6,9.60E-01,3.30E-01,2.25E+00,1,0
IPMK,9.63E-01,3.30E-01,7.73E-01,1,0
HNF1A,9.61E-01,3.30E-01,1.14E+00,1,0
UNC5D,9.29E-01,3.30E-01,2.25E+00,1,0
PPM1G,9.60E-01,3.30E-01,3.34E+00,1,0
POFUT1,9.63E-01,3.30E-01,9.52E-01,1,0
ZNF296,9.59E-01,3.30E-01,1.61E+00,1,0
PRCC,9.63E-01,3.30E-01,1.09E+00,1,0
VMP1,9.63E-01,3.30E-01,2.25E+00,1,0
USP25,7.52E-01,3.30E-01,1.24E+00,1,0
EIF2B4,9.61E-01,3.30E-01,7.98E-01,1,0
SYNJ1,4.27E-01,3.30E-01,2.25E+00,1,0
HIP1,7.62E-01,3.30E-01,2.27E+00,1,0
ADAMTS10,8.43E-01,3.30E-01,3.63E+00,1,0
ANO1,8.74E-01,3.30E-01,2.77E+00,1,0
CBFB,9.59E-01,3.30E-01,1.71E+00,1,0
ARAF,9.63E-01,3.30E-01,2.45E+00,1,3
ARF5,9.43E-01,3.30E-01,2.28E+00,1,0
DSG1,9.27E-01,3.31E-01,-3.41E-01,1,0
HHIP,9.54E-01,3.31E-01,1.36E+00,1,0
USP33,8.62E-01,3.31E-01,2.10E+00,1,0
ANP32B,9.58E-01,3.31E-01,1.27E+00,1,0
DEPDC5,1.17E-01,3.31E-01,2.65E+00,1,0
HYOU1,8.61E-01,3.31E-01,1.80E+00,1,0
CLIP1,6.81E-01,3.31E-01,2.08E+00,1,0
MYH14,4.22E-02,3.32E-01,2.28E+00,1,0
RGS7BP,9.58E-01,3.32E-01,1.02E+00,1,0
FAM208B,3.10E-01,3.32E-01,-8.93E-02,1,0
EYA1,9.46E-01,3.32E-01,1.02E+00,1,0
ZCCHC24,9.42E-01,3.32E-01,1.91E+00,1,0
VPS13D,1.07E-06,3.32E-01,2.50E+00,1,0
SPECC1L,8.59E-01,3.32E-01,1.60E+00,1,0
KPNA3,9.54E-01,3.32E-01,3.39E+00,1,0
ZMYM2,6.66E-01,3.32E-01,3.01E+00,1,0
DERL2,9.57E-01,3.32E-01,1.62E+00,1,0
SNED1,6.62E-01,3.32E-01,3.13E+00,1,0
NEUROD2,9.42E-01,3.32E-01,2.67E+00,1,0
OTUD7A,9.52E-01,3.33E-01,2.87E+00,1,0
PRDM1,9.57E-01,3.33E-01,1.77E+00,1,0
SKP2,9.60E-01,3.33E-01,1.95E+00,1,0
ATXN2,8.53E-01,3.33E-01,2.35E+00,1,0
ELMO1,9.00E-01,3.33E-01,3.13E+00,1,0
CCDC132,8.14E-01,3.33E-01,2.50E+00,1,0
RCC2,9.56E-01,3.34E-01,3.09E+00,1,0
BMP4,9.56E-01,3.34E-01,1.01E+00,1,0
GSK3B,9.56E-01,3.34E-01,2.80E+00,1,0
MAGI1,5.60E-01,3.34E-01,1.36E+00,1,0
SMURF2,8.72E-01,3.34E-01,2.90E+00,1,0
CTLA4,9.41E-01,3.34E-01,1.69E+00,1,0
SNX18,9.56E-01,3.34E-01,1.97E+00,1,0
11-Sep,9.59E-01,3.34E-01,1.97E+00,1,0
MSH2,8.95E-01,3.34E-01,-2.45E+00,1,0
HK1,9.15E-01,3.34E-01,3.23E+00,1,0
TOX4,9.56E-01,3.34E-01,2.37E+00,1,0
CSRNP2,9.60E-01,3.34E-01,2.17E+00,1,0
SP9,9.40E-01,3.35E-01,2.26E+00,1,0
LTBP3,6.86E-01,3.35E-01,2.85E+00,1,0
ALDH1A1,9.54E-01,3.35E-01,1.66E+00,1,0
RASAL2,7.96E-01,3.35E-01,1.40E+00,1,0
AGAP3,9.11E-01,3.35E-01,2.99E+00,1,0
CCDC64,9.48E-01,3.35E-01,9.84E-01,1,0
ILDR2,9.54E-01,3.35E-01,1.26E+00,1,0
GRB10,9.39E-01,3.35E-01,1.53E+00,1,0
NCOA3,5.41E-01,3.35E-01,1.33E+00,1,2
PURA,9.40E-01,3.35E-01,3.37E+00,1,0
INCENP,8.86E-01,3.36E-01,7.66E-01,1,0
TNR,5.24E-01,3.36E-01,1.60E+00,1,0
ARHGAP25,9.46E-01,3.36E-01,6.19E-01,1,0
PPP1CC,9.58E-01,3.36E-01,3.36E+00,1,0
RBFOX1,9.53E-01,3.36E-01,1.96E-01,1,0
XYLT1,9.24E-01,3.36E-01,5.86E-01,1,0
TMEM178B,9.55E-01,3.36E-01,2.32E+00,1,0
KIAA2026,6.59E-01,3.36E-01,-4.33E+00,1,0
PSD,9.04E-01,3.37E-01,1.80E+00,1,0
KLHL3,9.45E-01,3.37E-01,2.99E+00,1,0
SPTY2D1,9.45E-01,3.37E-01,1.02E+00,1,0
C1orf226,9.39E-01,3.37E-01,8.23E-01,1,0
ANGPT1,9.52E-01,3.37E-01,1.30E+00,1,0
ATG4B,9.56E-01,3.37E-01,1.41E+00,1,0
SLITRK1,9.57E-01,3.37E-01,4.05E-01,1,0
CACNA2D3,5.78E-01,3.37E-01,1.86E+00,1,0
SART1,8.82E-01,3.37E-01,2.30E+00,1,0
RBMX2,9.39E-01,3.37E-01,9.17E-01,1,0
ANKS1A,8.09E-01,3.38E-01,2.81E+00,1,0
KCNMB4,9.39E-01,3.38E-01,2.06E+00,1,0
PSMC3,9.55E-01,3.38E-01,3.87E+00,1,0
CDH6,9.20E-01,3.38E-01,2.39E+00,1,0
FBLN1,9.19E-01,3.38E-01,1.43E+00,1,0
GFPT1,9.00E-01,3.38E-01,4.35E+00,1,0
STX12,9.56E-01,3.38E-01,9.46E-01,1,0
DLG2,7.08E-01,3.38E-01,2.08E+00,1,0
TMEM39A,9.55E-01,3.38E-01,1.55E+00,1,0
SIX2,9.39E-01,3.38E-01,5.19E-01,1,0
NUTF2,9.39E-01,3.38E-01,2.29E+00,1,0
RNF126,9.54E-01,3.38E-01,7.29E-01,1,0
DDHD1,9.02E-01,3.38E-01,1.18E+00,1,0
SORCS1,5.59E-01,3.38E-01,1.30E+00,1,0
TIPRL,9.54E-01,3.38E-01,1.80E+00,1,0
FN1,1.40E-03,3.38E-01,1.65E+00,1,0
PCGF3,9.53E-01,3.38E-01,2.10E+00,1,0
PLCH1,3.96E-01,3.38E-01,1.48E+00,1,0
PTPRU,3.93E-01,3.38E-01,2.45E+00,1,0
FGF10,9.38E-01,3.39E-01,8.50E-01,1,0
IFNGR2,9.53E-01,3.39E-01,8.28E-01,1,0
RUSC1,9.41E-01,3.39E-01,1.45E+00,1,0
ZNF318,3.74E-01,3.39E-01,2.03E-01,1,0
SOX13,9.42E-01,3.39E-01,1.74E+00,1,0
ZBTB37,9.55E-01,3.39E-01,2.36E+00,1,0
BICC1,8.37E-01,3.39E-01,1.25E+00,1,0
CNTFR,9.55E-01,3.39E-01,1.60E+00,1,0
ZMYND19,9.52E-01,3.40E-01,1.56E+00,1,0
LDB2,9.55E-01,3.40E-01,2.37E+00,1,0
DDA1,9.37E-01,3.40E-01,1.66E+00,1,0
LZTS1,9.55E-01,3.40E-01,2.17E-01,1,0
PHOX2B,9.38E-01,3.40E-01,2.08E+00,1,0
SLITRK3,9.39E-01,3.40E-01,5.89E-01,1,0
BNC2,9.28E-01,3.40E-01,3.60E-01,1,0
GPR64,9.27E-01,3.40E-01,1.89E+00,1,5
HPRT1,9.37E-01,3.40E-01,2.32E+00,1,0
RAB6A,9.52E-01,3.40E-01,2.50E+00,1,0
MAP3K5,5.20E-01,3.40E-01,3.28E+00,1,0
SLC4A7,7.36E-01,3.40E-01,2.25E+00,1,0
GABRB3,9.51E-01,3.41E-01,3.39E+00,1,0
JAK2,6.54E-01,3.41E-01,8.96E-01,1,0
ELK1,9.37E-01,3.41E-01,2.19E+00,1,0
SLC35F1,9.51E-01,3.41E-01,1.78E+00,1,0
LCP2,9.25E-01,3.41E-01,9.18E-01,1,0
CSTF1,9.54E-01,3.41E-01,3.41E+00,1,0
KIF1C,7.18E-01,3.41E-01,1.40E+00,1,0
RALGDS,8.88E-01,3.41E-01,1.47E+00,1,0
LRP5,5.10E-01,3.41E-01,1.67E+00,1,0
POU5F1,9.54E-01,3.41E-01,1.76E+00,1,0
