GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratioPercentile	EdgeCase
CYTIP	-0.45	23.72	-0.74	13.94	0.15	59.7	-0.33	25.66	-0.69	15.81	-0.43	25.96	-0.83	12.13	-0.54	19.74	58.54011082	N
CYTL1	0.69	86.48	0.26	70.06	-0.13	41.17	0.34	76.64	0.47	78.73	0.89	89.79	0.51	79.71	-0.15	45.89	52.37292219	Y
CYYR1	0.12	68.07	0.73	86.08	0.45	75.8	1.29	96.48	0.02	56.56	-0.21	41.76	0.63	83.41	0.38	77.69	78.67381354	N
D2HGDH	0.27	74.35	-0.06	48.84	-0.29	32.02	-0.92	8.21	0.91	89.32	0.74	87.11	-0.38	26.85	-0.2	40.81	51.81883883	N
DAAM1	-0.74	11.71	-1.55	3.25	-1.54	4.19	-1.14	5.7	-0.77	13.46	-0.96	7.3	-1.95	2.28	-1.03	6.9	23.00048181	N
DAAM2	-2.03	1.14	0.04	56.27	0.07	54.6	-0.42	20.98	0.45	77.85	-2.1	0.87	-0.87	11.28	-0.99	7.56	71.32016382	N
DAB1	-0.22	39.07	-0.02	52.09	0.06	53.71	-0.24	30.91	-0.75	14.17	-0.17	44.12	-0.04	47.78	0.11	65.89	32.76318959	N
DAB2	0.19	70.67	1.05	91.34	-0.09	43.52	0.14	60.69	1.16	92.4	0.12	68.17	-0.43	24.59	0.15	68.44	40.84557938	N
DAB2IP	-1.23	4.25	-1.52	3.47	-2.48	1.27	-0.46	19.49	-1.85	2.09	-2.12	0.84	-0.43	24.18	-0.49	21.73	16.20693809	N
DACH1	-0.62	15.69	-0.98	8.75	-0.92	10.92	-0.52	17.53	-0.51	22.35	-0.55	18.99	-0.77	13.44	-0.66	15.3	32.17297037	N
DACH2	-0.46	22.89	-0.49	22.36	0.4	73.68	-0.04	45.77	-0.1	47.36	-0.53	20.14	-0.16	39.78	-0.27	35.97	73.2654782	N
DACT1	0.68	86.26	0.2	67.43	0.59	81.25	-0.05	44.71	-0.16	42.82	0.78	87.91	0.1	57.88	0.72	86.5	78.42086244	N
DACT2	1.23	93.32	1.28	93.77	1.83	97.55	1.16	95.55	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	37.76800771	N
DAD1	-0.03	56.85	-0.1	46.2	0.01	50.22	0.15	62.8	-0.06	51	-0.02	59.11	0.21	65.81	-0.02	56.24	35.32883642	Y
DAG1	-0.64	14.78	-0.57	19.04	-1.55	4.09	-0.64	13.44	-0.96	9.16	-0.79	10.46	-0.76	13.75	-0.83	10.44	57.22115153	N
DAGLA	-0.33	31.23	-0.57	18.96	-1.1	8.07	-0.56	16.02	-0.87	11.04	-0.49	21.48	-0.97	9.61	-0.65	15.54	17.7427126	N
DAGLB	0.35	77.38	0.03	55.86	-0.06	45.48	-0.35	24.73	0.78	86.79	0.46	80.57	-1.17	6.71	0.29	73.85	89.03276319	N
DAK	-0.27	35.3	-0.48	22.75	0.51	78.46	-0.49	18.44	-0.36	29.5	-0.41	26.29	-0.43	24.59	-0.23	38.36	78.24620573	N
DALRD3	-0.08	51.94	-0.29	33.2	-0.55	20.08	-0.08	42.99	-0.25	37.42	0.15	69.59	-0.34	29.12	-0.15	44.42	60.16020236	N
DAND5	0.25	73.63	-0.03	51.4	0.66	83.57	0.31	74.81	0.06	58.83	0.34	76.81	0.27	69.07	-0.15	45.89	95.72392195	Y
DAO	-0.55	18.49	-0.62	17.16	0.3	69.08	-0.14	37.72	-0.93	9.98	-0.57	18.09	-0.54	20.48	-0.51	21.08	89.93615996	N
DAOA	0.32	76.46	0.81	87.82	0.72	85.02	0.97	93.74	0.22	68.16	0.44	80.53	0.85	88.41	1.46	94.83	98.56661046	N
DAP	0.01	60.6	0.26	69.83	0.42	74.58	0.51	83.61	0.39	75.71	0.02	62.73	0.17	62.87	-0.05	53.64	39.26764635	Y
DAP3	-0.59	16.71	-0.22	37.43	0.18	61.85	-0.21	32.96	0.24	69.07	-0.55	18.99	-0.91	10.63	-0.37	28.37	57.95591424	N
DAPK1	-0.69	13.28	-1.28	5.19	-1.24	6.51	-1.17	5.39	-0.86	11.07	-1.44	2.58	-1.71	3.11	-0.9	9.15	29.19176102	N
DAPK2	-0.56	17.89	0.09	60.47	0.84	88.09	0.42	80.05	-0.03	52.33	-0.49	22.26	0.36	73.21	-0.34	30.52	73.83160684	N
DAPK3	-0.49	21.37	-0.78	12.77	-0.12	41.86	-0.37	23.93	-0.72	14.83	-0.45	24.65	-0.83	12.13	-0.54	19.74	27.37292219	N
DAPL1	1.09	91.91	0.73	85.98	0.7	84.63	0.9	92.88	1.19	92.85	1.4	94.66	0.37	74.12	0.53	82.31	86.24427849	N
DAPP1	-0.03	56.85	-0.08	47.79	0.15	59.99	0.17	64.34	-0.09	48.54	-0.05	57.34	0.12	59.86	-0.08	50.87	6.082871597	Y
DARC	0.82	88.71	0.28	71.41	0.08	55.42	0.57	85.7	0.76	86.53	1.12	92.45	0.38	74.58	0.38	77.69	76.19850638	N
DARS	-0.45	23.72	0.26	70.44	-0.14	40.39	0.26	71.72	-0.25	37.42	-0.38	28.74	0.54	80.6	-0.06	52.06	74.54227897	N
DARS2	0.33	76.74	0.2	67.19	-0.26	33.14	0.21	67.76	-0.07	49.76	0.02	61.88	0.43	76.7	0.03	60.12	86.20211997	N
DAW1	0.33	76.74	0.44	77.8	1.19	93.28	0.79	91.07	0.76	86.53	0.06	64.99	1.18	92.94	0.65	84.92	91.68272705	N
DAXX	-0.84	9.64	-0.82	11.88	-1.23	6.61	-0.19	34.34	-0.91	10.17	-0.81	10.28	-0.71	15.15	-0.55	19.04	33.65454107	N
DAZAP1	-0.33	31.07	-0.54	20.26	-0.98	9.71	-0.18	35	-0.46	24.98	-0.28	36.38	-0.64	17.01	-0.42	25.91	1.331004577	N
DAZAP2	0.22	72.38	0.17	65.56	0.73	85.24	0.56	85.57	0.19	66.52	-0.11	51.62	0.08	57.16	0.12	66.65	85.59985546	Y
DAZL	0.26	74.23	0.24	68.98	0.27	67.04	0.32	75.81	0.06	58.83	0.34	76.81	0.32	71.39	0.66	85.18	97.21753794	Y
DBF4	-0.27	35.57	0.15	64.74	0.38	72.69	-0.29	27.7	1.31	93.86	0.46	80.95	-0.86	11.62	-0.49	21.68	62.29221874	N
DBF4B	0.46	80.91	0.24	69.51	1.11	92.35	0.74	90.07	0.08	59.61	-0.13	48.29	0.62	83.17	-0.25	36.37	77.87882438	N
DBH	0.16	69.6	-0.01	52.38	-0.58	19.07	-0.27	28.79	2.27	98.09	0.21	71.22	-0.77	13.21	-0.16	43.75	55.13129366	N
DBN1	-0.57	17.51	-0.09	47.12	-0.04	47.18	0.2	66.56	0.33	73.08	0.08	65.84	-0.45	23.63	-0.32	32.05	23.3859311	N
DBNDD1	-0.2	40.89	-0.34	30.07	0.69	84.3	-0.03	46.77	-0.26	36.72	-0.15	47.68	-0.36	27.99	-0.24	38.27	94.63984582	Y
DBNL	-0.21	40.08	-0.02	52.09	0.1	56.58	0.06	54.51	-0.2	40.2	-0.6	17.16	-0.19	37.79	-0.22	39.22	25.83714768	N
DBR1	-0.75	11.57	-0.47	23.51	0.03	51.65	-0.38	23.25	-0.39	27.77	-0.43	24.94	0.1	58.23	-0.18	41.72	56.85979282	N
DBT	0.42	79.85	0.82	87.95	1	90.77	-0.27	29.64	0.55	81.07	0.7	86.62	0.64	83.72	0.62	84.24	63.50277042	N
DCAF10	-0.25	37.63	-0.38	27.42	-0.74	14.48	-0.08	42.56	-0.36	30.26	-0.21	41.76	-0.31	30.41	-0.21	40.71	26.74054445	Y
DCAF11	0.02	60.8	-0.07	48.78	0.16	60.31	-0.46	19.47	-0.12	45.17	-0.26	36.81	1.05	91.55	0.02	59.28	46.65743194	N
DCAF12	0.02	61.18	-0.38	27.69	0.02	50.93	0.04	52.78	-0.48	24	0	59.84	0.18	63.51	0.18	69.93	55.90821489	N
DCAF12L1	0.05	63.48	-0.34	30.37	0.1	56.51	-0.22	32.69	0.16	64.82	0.4	79.08	-0.28	32.19	-0.28	34.54	25.76487593	N
DCAF12L2	-0.04	56.02	-0.23	37.32	-0.14	40.39	-0.32	26.55	-0.18	42.09	0.19	71.2	-0.19	37.79	-0.22	39.22	13.55697422	N
DCAF13	0.21	71.9	0.85	88.48	0.28	67.68	-0.7	12.04	1.19	92.79	0.68	85.91	0.35	72.84	0.18	70.04	69.5434835	N
DCAF15	-0.58	16.97	-0.57	18.9	-0.95	10.33	-0.95	7.76	-0.85	11.7	-0.77	11.38	-0.73	14.41	-0.5	21.31	17.32112744	N
DCAF16	0.61	84.74	0.13	63	-0.08	44.38	0.53	84.47	-0.01	54.49	0.29	75.26	0.18	63.51	0.56	83.03	43.03179957	Y
DCAF17	-0.04	56.02	-0.47	23.25	0.15	59.7	-0.32	26.55	-0.13	44.96	-0.02	57.92	-0.3	31.21	0.03	60.12	46.10937124	N
DCAF4	1.71	96.15	1.34	94.29	2.02	98.08	1.72	98.18	0.86	88.36	0.99	90.89	1.59	96.08	0.8	88	94.43507589	N
DCAF4L1	-0.33	31.07	-0.05	50.01	-0.26	33.55	0.4	79.1	0.23	68.74	-0.32	33.13	-0.55	20.05	-0.36	29.59	28.01734522	N
DCAF4L2	-0.62	15.69	0	53.85	-0.19	37.34	-0.23	31.93	-0.51	22.35	-0.55	18.99	-0.28	32.19	0.49	80.99	36.95495061	N
DCAF5	-1.18	4.68	-1.11	6.86	-1.62	3.75	-0.88	8.81	-1.1	7.14	-1.17	4.79	-1.03	8.67	-1.15	5.69	20.55528788	N
DCAF6	0.3	75.46	-0.24	36.23	-0.35	28.86	-0.6	14.83	-0.05	51.18	0.08	65.84	0.61	82.82	0.28	73.84	23.79547097	N
DCAF8	-0.41	26.34	-0.65	16.36	-0.31	30.62	-0.27	29.64	-0.49	23.35	-0.3	34.73	-0.34	29.12	-0.54	19.74	8.702722236	N
DCAF8L1	-0.71	12.76	0.35	74.58	0	49.88	-0.33	25.93	0.42	76.81	-0.68	14.01	0.42	75.83	-0.07	51.29	53.56540593	N
DCAKD	-0.46	22.89	0.24	69.37	0.84	87.87	0.82	91.6	0.23	68.74	-0.32	33.13	0.11	59.29	-0.72	13.42	95.71187666	N
DCBLD1	-0.64	15.22	-0.51	21.56	-0.38	27.61	-0.24	30.91	-0.38	29.05	-0.47	23.43	-1.05	8.4	-0.84	10.29	58.32931824	N
DCBLD2	-0.54	18.77	0.71	85.76	0.77	86.39	0.25	70.72	0.61	82.65	-0.51	20.46	0.43	76.28	-0.22	38.61	53.76415322	N
DCC	-0.75	11.59	-1.36	4.52	-0.53	20.8	-0.95	7.66	-1.01	8.51	-0.77	10.91	-1.01	8.98	-1.47	3.19	33.35340882	N
DCD	0.41	79.52	0.46	78.16	0.24	65.12	0.78	90.89	0.29	71.41	-0.05	57.34	0.66	84.08	0.33	75.84	43.4895206	Y
DCDC1	-0.14	46.38	-0.62	17.16	-0.57	19.43	-0.43	20.77	-0.45	25.49	-0.51	21.17	-0.43	24.51	-0.22	39.22	23.33172729	N
DCDC2	0.7	86.66	0.86	88.74	-0.24	34.5	0.74	90.01	0.18	65.71	0.99	91.01	1.08	92.03	0.59	83.48	46.44663936	N
DCDC2B	-0.45	23.72	0.26	70.44	0.15	59.7	0.55	85.12	0.51	80.13	-0.38	28.74	0.1	58.23	-0.57	18.55	45.1577933	N
DCHS1	-1.56	2.35	-1.38	4.4	1.14	92.73	-1.7	2.29	-2.74	0.67	-1.95	1.08	-2	2.1	-0.72	13.43	60.13008914	N
DCHS2	6.42	99.85	7.75	99.94	3.14	99.41	4.91	99.84	6.03	99.83	4.19	99.63	5.31	99.86	7.09	99.88	82.82943869	N
DCK	0.24	72.99	0.44	77.57	0.19	62.24	0	49.5	-0.08	49.36	0.25	73.58	0.56	81.33	1.04	91.23	33.17272946	N
DCLK1	-0.56	17.89	-0.65	16.44	-1.34	5.66	-0.16	36.54	-0.66	16.92	-0.41	27.43	-1.01	9.06	-0.81	11.04	2.27053722	N
DCLK2	-0.71	12.76	-0.38	28.01	0.29	68.63	-0.33	25.93	-0.4	27.59	-0.72	12.54	-0.67	16.31	-0.37	28.37	25.46374368	N
DCLK3	-0.95	7.41	-0.02	52.25	0.48	77.16	0.25	70.72	0.12	62.22	-0.34	30.5	-0.4	25.82	-0.67	14.73	53.13779812	N
DCLRE1A	-0.53	19.21	2.29	98.31	1.1	92.19	0.94	93.3	0.89	88.99	-0.05	55.6	0.77	86.72	-0.18	41.77	76.04191761	N
DCLRE1B	0.23	72.66	0.04	57.31	0.62	82.29	-0.48	18.72	0.31	72.39	0.02	61.88	0.16	62.19	0.08	63.86	95.82028427	N
DCLRE1C	0.76	87.56	0.07	59.04	-0.38	27.66	-0.26	29.98	0.08	59.61	0.93	90.27	0.11	58.28	0.18	70.04	27.93302819	N
DCN	0.08	65.39	-0.05	50.01	0.03	52.05	-0.18	35	-0.42	26.73	-0.26	38.17	-0.25	34.57	0.29	74.24	12.01517707	N
DCP1B	2.35	98.11	0.71	85.76	0.77	86.39	-0.61	14.26	0.38	74.97	1.99	97.08	1.73	96.87	0.37	77.3	93.51361118	N
DCP2	-0.56	17.89	-0.89	10.3	-1.05	8.81	-0.45	20	-0.96	9.36	-0.6	17.16	-0.64	17.01	-0.42	25.91	33.30522766	N
DCPS	-0.89	8.42	-0.18	40.56	-0.67	16.51	0.61	86.86	0.02	55.95	-0.93	7.59	0.17	63.02	-0.84	10.29	62.66562274	N
DCST1	0.43	79.99	-0.93	9.72	-0.43	24.96	-0.93	8.04	-1.24	5.7	-0.72	12.1	-0.72	14.72	0.12	66.72	80.0831125	N
DCST2	-1.17	4.78	-0.99	8.63	-0.42	25.28	-0.77	10.53	-1.25	5.54	-1.21	4.24	-0.34	29.19	-0.17	43.49	90.64080944	N
DCSTAMP	0.93	90.1	0.58	82.25	0.4	73.71	0.52	84.05	1.03	91.12	1.06	91.83	-0.01	50.46	0.81	88.15	71.99470007	N
DCT	-0.44	24.01	-0.6	18.14	0.47	76.83	-0.78	10.37	-1.19	6.2	-0.74	11.96	-0.22	36.18	-0.55	19.04	93.6762226	N
DCTD	-0.19	42.14	-0.32	31.46	-0.14	40.22	-0.01	48.28	-0.22	39.02	-0.13	49.82	-0.5	21.74	-0.33	31.71	9.847024813	Y
DCTN1	-0.84	9.39	-0.88	10.58	-1.54	4.22	-0.58	15.03	-0.75	13.91	-0.89	8.04	-1.09	7.84	-1.43	3.34	35.02770417	N
DCTN2	-0.32	32.09	-0.03	51.66	0.51	78.34	0.41	79.88	-0.59	19.35	-0.36	30.17	0.42	76.19	0.18	69.93	94.68802698	N
DCTN3	-0.06	54.08	0.13	62.74	0.36	72.17	0.42	80.35	-0.12	46.17	-0.07	55.41	0.21	65.81	0.36	76.95	74.40978078	Y
DCTN4	0.19	70.88	-0.51	21.56	-0.23	34.95	0.04	53.03	-0.34	31.36	0.38	77.89	-0.34	29.12	-0.15	44.42	33.46181643	N
DCTN5	-0.05	55.48	-0.1	46.2	-0.18	38.07	0.15	62.8	-0.22	39.02	-0.13	49.82	0.06	55.51	0.04	61.25	2.113948446	Y
DCTN6	-0.08	52.75	-0.14	42.88	0.03	51.87	0.12	59.81	-0.22	39.02	-0.13	49.82	0.31	70.74	0.04	61.25	53.4148398	Y
DCTPP1	0.26	74.23	0.24	68.98	0.12	57.99	0.32	75.81	0.22	68.16	0.44	80.53	0.18	63.51	-0.21	40.71	93.70031318	Y
DCUN1D1	-0.03	56.85	-0.08	47.79	0.01	50.22	0.17	64.34	-0.12	46.17	-0.07	55.41	-0.08	45.18	-0.05	53.64	24.04239942	Y
DCUN1D2	-0.15	45.9	0.24	68.98	0.27	67.04	0.32	75.81	0.19	66.52	-0.11	51.62	0.08	57.16	-0.27	35.97	94.13394363	Y
DCUN1D3	-0.28	35.17	-0.45	24	-0.39	27.08	-0.11	39.74	-0.36	30.26	-0.21	41.76	-0.45	23.52	-0.3	33.66	80.81787521	Y
DCUN1D4	-0.15	45.9	-0.25	35.42	-0.17	38.56	0.04	52.37	-0.22	39.02	-0.13	49.82	0.32	71.39	-0.12	48.49	46.4647073	Y
DCUN1D5	0.01	60.6	-0.01	52.85	0.28	67.33	0.22	68.47	0.01	55.83	0.02	62.73	0.01	52.23	0.01	58.77	56.07684895	Y
DCX	-0.05	55.48	-0.1	46.2	-0.03	47.43	0.15	62.8	-0.02	53.64	0	61.1	-0.08	45.18	-0.05	53.64	36.15393881	Y
DCXR	-0.1	49.88	0.04	56.64	-0.19	37.08	0.07	55.44	0.26	69.87	-0.07	55.41	0.02	53.09	-0.15	45.89	18.14020718	Y
DDA1	0.01	60.6	-0.01	52.85	-0.16	39.07	0.22	68.47	0.01	55.83	0.02	62.73	0.06	55.51	0.04	61.25	9.648277523	Y
DDAH1	-0.2	40.89	-0.1	46.49	-0.33	29.65	0.26	71.45	-0.39	28.47	-0.24	39.98	0.13	60.51	0.15	68.34	25.10238497	Y
DDAH2	0.24	72.99	-0.05	49.76	1.79	97.38	0.29	73.88	-0.46	24.98	-0.28	36.38	0.12	59.86	0.3	74.67	97.81980246	Y
DDB1	-0.69	13.26	-1.11	6.72	-1.7	3.34	-0.62	14.13	-1.23	5.84	-0.77	11.38	-0.92	10.37	-0.6	17.35	6.064803662	N
DDB2	-0.32	32.09	-0.03	51.66	0.22	64.41	-0.17	36.22	-0.25	37.42	-0.38	28.74	0.02	53.09	-0.15	45.89	44.07973982	N
DDC	0.54	83.12	0.38	75.51	-0.25	34.08	-0.02	47.36	0.11	61.7	0.42	79.46	0.26	68.6	1.14	92.47	61.099735	N
DDHD1	0	59.55	-0.07	48.78	-0.76	14.2	0.12	59	-0.54	21.24	-0.28	35.15	0.42	75.83	-0.07	51.29	57.03444953	N
DDHD2	-0.47	22.42	-0.15	42.23	-0.63	17.74	0.05	53.16	-0.16	42.82	-0.28	35.15	-0.32	29.71	-0.46	23.37	77.12599374	N
DDI1	0.23	72.66	0.78	87.14	0.18	61.85	0.38	78.56	0.03	57.07	0.08	66.58	-0.02	49.8	0.58	83.24	79.90845579	N
DDI2	-0.22	39.8	-0.36	28.63	-0.37	27.8	-0.05	45.37	-0.49	23.35	-0.3	34.73	0.07	56.4	-0.12	48.49	4.992772826	Y
DDIT3	-0.15	45.9	0.24	68.98	-0.02	47.99	0.61	87.01	0.12	62.86	-0.15	47.68	-0.02	49.61	0.21	71.22	27.05974464	Y
DDIT4	-0.19	42.14	-0.32	31.46	0.15	59.55	-0.01	48.28	-0.09	48.54	-0.05	57.34	-0.11	43.42	-0.39	27.64	58.3112503	Y
DDIT4L	-0.22	39.8	-0.12	44.89	0.21	63.85	0.24	70.23	0.02	56.56	0.31	76.03	0.08	57.16	-0.27	35.97	83.57624669	Y
DDN	0.38	78.46	0	53.73	0.29	68.57	0.26	71.72	-0.11	46.94	0.23	72.83	-0.04	47.78	0.11	65.89	80.51674295	N
DDO	0.74	87.3	2.25	98.2	1.62	96.69	0.88	92.58	0.32	72.59	-0.21	40.48	1.62	96.26	0.98	90.52	84.67839075	N
DDOST	-0.31	32.42	-0.4	26.85	-0.18	37.86	-0.06	44.57	-0.06	50.06	-0.74	11.96	-0.66	16.55	-0.52	20.29	40.37581306	N
DDR1	-1.03	6.34	-1.26	5.31	-0.45	23.93	-1.18	5.35	-0.68	15.9	-0.85	8.94	-1.2	6.37	-1.19	5.2	29.78800289	N
DDR2	-0.55	18.14	-0.78	13.05	-1.01	9.35	-0.92	8.21	-0.91	10.17	-0.28	35.15	-1.13	7.33	-1.21	5.09	19.88075163	N
DDRGK1	0.49	81.82	0.17	65.76	0.18	61.75	0.38	78.41	0.3	72	0.78	88.15	0.15	61.42	-0.15	44.42	57.31751385	N
DDX1	-0.68	13.66	-0.6	18.06	-1.22	6.69	-0.31	26.84	-0.96	9.36	-0.6	17.16	-0.76	13.71	-0.81	11.04	28.80631173	N
DDX10	-1.25	4.1	-0.48	22.78	0.36	72.03	-0.39	22.55	-0.59	18.82	-1.08	5.64	-0.13	41.23	-1.51	2.98	82.93182366	N
DDX11	1.35	94.12	1.03	91.11	1.59	96.56	0.72	89.61	1.29	93.64	1.08	91.91	0.78	86.91	1.21	93.08	76.18646109	N
DDX17	-0.31	33.12	-0.52	21.2	-0.32	30.12	-0.15	37.38	-0.49	23.35	-0.3	34.73	-0.45	23.52	-0.3	33.66	4.920501084	N
DDX18	-0.35	29.49	1	90.69	0.57	80.56	-0.68	12.3	0.7	85.05	0.31	75.55	0.58	81.75	0.1	65.52	21.12141653	N
DDX19A	-0.23	38.75	-0.14	43.29	-0.41	25.87	0.22	68.79	0.06	58.83	-0.19	43.65	-0.6	18.44	-0.39	27.64	10.07588533	Y
DDX19B	0.55	83.29	0.04	56.92	-0.24	34.4	0.17	64.67	0.33	73.49	0.27	74.39	-0.15	40.41	-0.03	54.84	22.62707781	Y
DDX20	0.73	87.04	1.73	96.61	1.29	94.23	0.29	73.22	0.95	89.85	1.29	93.83	0.83	88	0.72	86.5	69.67598169	N
DDX21	-0.31	32.42	-0.4	26.85	0.4	73.71	-0.34	24.96	-0.85	11.7	-0.24	38.63	0.79	87.3	-0.6	17.35	81.06480366	N
DDX23	-0.62	15.69	-0.98	8.75	-1.21	6.88	-0.52	17.53	-1.09	7.4	-0.68	14.01	-0.88	11.19	-0.57	18.55	6.920019272	N
DDX24	-0.36	29.28	1.34	94.29	0.71	84.77	-0.59	14.94	-0.49	22.74	-1.02	6.32	1.63	96.29	0.83	88.53	67.91134666	N
DDX25	-0.43	24.45	-0.45	24.19	-0.39	26.8	-0.3	27.45	-0.48	24	-0.53	20.14	-0.16	39.78	-0.27	35.97	50.98169116	N
DDX26B	-0.66	14.11	-0.07	48.69	-0.31	30.72	-0.28	28.77	-0.1	47.36	-0.53	20.14	-0.23	35.31	-0.78	11.79	47.34401349	N
DDX27	0.1	66.65	-0.06	48.87	-0.77	13.87	-0.25	30.04	-0.7	15.26	0.15	69.09	-0.04	47.48	0.63	84.54	46.82004336	N
DDX28	-0.14	46.38	0.31	72.6	0.3	69.08	-0.16	36.54	-0.07	49.76	0.02	61.88	0.1	58.23	0.2	70.58	90.44206215	N
DDX31	1.18	92.89	1	90.79	1.26	93.91	0.43	80.39	0.44	77.51	0.44	80.03	1.06	91.71	1	90.81	76.36714045	N
DDX39A	-0.11	49.14	-0.58	18.59	-0.93	10.72	-0.4	22.2	-0.66	16.92	-0.41	27.43	-0.48	22.63	-0.25	36.93	15.24933751	N
DDX39B	-0.06	54.08	-0.12	44.54	-0.22	35.67	0.14	61.38	-0.12	46.17	-0.07	55.41	-0.13	42.03	-0.08	50.87	1.282823416	Y
DDX3X	-0.06	54.08	-0.12	44.54	-0.36	28.24	0.14	61.38	-0.09	48.54	-0.05	57.34	-0.08	45.18	-0.05	53.64	0.144543483	Y
DDX4	-0.41	25.66	-0.31	32.15	-0.32	30.27	-0.17	35.47	0.39	75.49	-0.17	44.12	-0.75	13.94	-0.58	17.81	37.09347145	N
DDX41	-0.69	13.26	-1.09	7.05	-0.97	9.85	-0.6	14.7	-0.99	8.77	-0.62	16.23	-0.68	15.98	-0.6	17.35	10.64201397	N
DDX42	-0.94	7.63	-1	8.47	-1.37	5.47	-0.61	14.26	-0.44	25.8	-0.74	11.96	-1.04	8.58	-0.99	7.52	28.25222838	N
DDX43	0.86	89.2	0.71	85.73	0.05	53.23	-0.43	20.97	-0.54	21.24	0.25	73.1	0.71	85.41	1.11	92.07	43.02577692	N
DDX46	-0.71	12.76	-1.11	6.72	-1.6	3.84	-0.62	14.13	-0.99	8.77	-0.62	16.23	-1.06	8.16	-0.69	14.27	2.372922187	N
DDX47	-0.74	11.95	-0.91	9.96	-0.22	35.46	-0.65	13.23	-1.06	7.87	-0.66	14.79	0.31	70.88	-0.37	28.37	48.78944833	N
DDX49	0.34	77.11	-0.18	40.56	0.64	82.94	0.03	51.55	-0.47	24.26	-0.77	11.38	-0.04	47.48	0.24	72.5	33.2450012	N
DDX5	-0.19	41.28	-0.71	14.5	-1.46	4.75	-0.5	18.14	-0.38	29.05	0.06	64.99	-0.48	22.63	-0.25	36.93	11.00939533	N
DDX50	-0.25	36.77	-0.56	19.73	-0.46	23.84	-0.28	28.77	-0.61	18.5	-0.62	16.23	-0.62	17.68	-0.34	30.52	31.70320405	N
DDX51	0.75	87.53	0.16	64.96	0.35	71.28	-0.45	19.66	1.13	92.13	0.93	90.11	0.22	66.08	-0.06	52.14	34.9253192	N
DDX52	-0.5	20.75	0.05	57.48	1.04	91.34	0.01	50.18	0.36	74.1	0.34	76.35	0.48	78.45	-0.73	13.02	84.59407372	N
DDX53	0.83	88.82	0.42	77.23	-0.17	38.33	0.4	79.35	0.97	90.27	0.48	81.73	-0.25	34.17	0.81	88.15	70.43483498	N
DDX54	-0.42	25.41	0.37	74.73	1.27	94.03	-0.28	28.44	-0.6	18.54	-0.51	20.25	0.84	88.01	-0.07	51.32	77.16815225	N
DDX55	0.23	72.5	-0.11	45.57	0.32	69.99	-0.1	40.33	0.2	66.66	0.53	82.71	-0.21	36.83	-0.32	32.05	50.99975909	N
DDX56	-0.4	26.61	-0.53	20.78	-0.57	19.45	-0.45	20.21	0.14	63.66	-0.62	16.23	-0.16	39.9	-0.67	14.73	48.78342568	N
DDX58	0.68	86.18	0.05	57.54	-0.58	19.04	0.04	52.38	0.06	58.94	0.97	90.66	0.08	56.61	1	90.81	75.11443026	N
DDX59	-0.47	22.42	1.07	91.67	0.54	79.3	0.63	87.33	1.32	93.93	-0.3	33.53	0.09	57.28	0.1	65.52	83.14863888	N
DDX6	-0.28	35.17	-0.21	38.58	-0.53	20.92	-0.11	39.74	-0.59	19.35	-0.36	30.17	-0.02	49.61	-0.18	43.38	25.24692845	Y
DDX60	-0.77	11.08	-0.31	31.69	-1.31	5.95	-1.16	5.43	-0.34	30.97	0	59.17	-0.62	17.69	-1.39	3.56	36.1659841	N
DDX60L	3.36	99.33	2.62	98.78	2.48	98.87	0.28	72.77	1.13	92.1	2.67	98.57	2.85	99.24	3.41	99.29	70.82630691	N
DEAF1	-0.88	8.72	-0.89	10.43	-0.48	22.84	-0.82	9.86	-0.16	42.82	-0.81	10.28	-1.09	7.81	-1.02	7.06	15.46615273	N
DEC1	0.39	79.13	0.44	77.45	0.05	52.9	0.76	90.56	0.36	74.41	0.53	83.06	0.41	75.68	0.33	75.84	18.44133944	Y
DECR1	-0.29	34.06	-0.03	51.66	-0.57	19.36	0.12	60.24	0.27	70.41	-0.3	34.73	-0.16	39.78	-0.27	35.97	21.42254878	N
DECR2	-0.78	10.9	-0.24	36.17	0.09	56.11	-0.41	21.7	-0.44	25.8	-0.74	11.96	0.08	56.58	-0.9	9.1	54.89038786	N
DEDD	-0.18	43.45	-0.05	49.76	-0.25	33.9	0	49.5	-0.22	39.02	-0.13	49.82	-0.02	49.61	-0.18	43.38	68.47747531	Y
DEDD2	-0.28	35.17	-0.21	38.58	0.34	71.05	-0.11	39.74	-0.04	51.87	-0.26	38.17	0.72	85.85	0.06	62.42	21.63334136	Y
DEF6	0.79	88.25	0.24	69.37	0.58	81.13	0.24	70.52	0	54.9	0.06	64.99	0.55	80.86	0.56	82.76	20.5974464	N
DEF8	0.03	62	-0.02	52.15	-0.24	34.54	-0.14	37.87	-0.27	35.59	-0.11	50.34	0.03	53.23	-0.16	43.71	27.51144303	N
DEFA4	0.28	74.82	0.48	79.04	0.45	76.03	0.9	92.88	0.12	62.86	0.38	78.32	0.47	78	-0.18	43.38	41.1286437	N
