chromosome	OFFSPRING GENDER	ref allele major	offspring genotype	offspring coverage	mom genotype	mom coverage	dad genotype	dad coverage	FLAG
X	FEMALE	NO	HOM-REF	>=10	HET	<10	HET	<10	"NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	>=10	HET	<10	"NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	<10	HET	>=10	"NEWLY HOMOZYGOUS; IN REF"
X	MALE	NO	HOM-REF	ANY	HOM-VAR	>=10	ANY	ANY	"DE NOVO; IN REF"
X	FEMALE	YES	HET	NA	HET	<10	HET	<10	NO FLAG
X	FEMALE	YES	HET	NA	HET	<10	HOM-REF	<10	NO FLAG
X	FEMALE	YES	HET	NA	HET	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	<10	HET	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	<10	HET	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-REF	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HET	NA	HET	<10	HET	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HET	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HET	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	<10	HET	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	<10	HET	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HET	>=10	HET	<10	NO FLAG
X	FEMALE	YES	HET	NA	HET	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	YES	HET	NA	HET	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	>=10	HET	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	>=10	HET	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HET	NA	HET	>=10	HET	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HET	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HET	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	>=10	HET	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	>=10	HET	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
X	MALE	NO	HOM-REF	ANY	HOM-VAR	<10	ANY	ANY	"NEWLY HEMIZYGOUS OR POSSIBLY DE NOVO; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HET	<10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HET	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HET	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HET	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HET	<10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
X	MALE	NO	HOM-REF	ANY	HET	>=10	ANY	ANY	"NEWLY HEMIZYGOUS; IN REF"
X	FEMALE	NO	HET	NA	HET	<10	HET	<10	NO FLAG
X	FEMALE	NO	HET	NA	HET	<10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HET	NA	HET	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	<10	HET	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	<10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	<10	HOM-VAR	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	<10	HET	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HET	NA	HET	<10	HET	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HET	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HET	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	<10	HET	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	<10	HET	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HET	>=10	HET	<10	NO FLAG
X	FEMALE	NO	HET	NA	HET	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HET	NA	HET	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	>=10	HET	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	>=10	HET	<10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	NO	HET	NA	HET	>=10	HET	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HET	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HET	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	>=10	HET	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	>=10	HET	>=10	NO FLAG
X	FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	MALE	NO	HOM-REF	ANY	HOM-REF	>=10	ANY	ANY	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HET	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HET	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HET	<10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HET	<10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HET	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	YES	HET	NA	HOM-REF	<10	HOM-REF	<10	POSSIBLY DE NOVO
X	FEMALE	YES	HET	NA	HOM-REF	<10	HOM-REF	>=10	POSSIBLY DE NOVO
X	FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-REF	<10	POSSIBLY DE NOVO
X	FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-VAR	<10	"POSSIBLY DE NOVO; IN REF"
X	FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-VAR	>=10	"POSSIBLY DE NOVO; IN REF"
X	FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-VAR	<10	"POSSIBLY DE NOVO; IN REF"
X	MALE	NO	HOM-REF	ANY	HET	<10	ANY	ANY	"POSSIBLY NEWLY HEMIZYGOUS; IN REF"
X	MALE	NO	HOM-REF	ANY	HOM-REF	<10	ANY	ANY	"UNLIKELY NEWLY HEMIZYGOUS; IN REF"
X	FEMALE	YES	HOM-VAR	<10	HET	>=10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	>=10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	<10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	>=10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	>=10	HET	>=10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
X	MALE	NO	HET	ANY	HOM-REF	ANY	ANY	ANY	"UNLIKELY DE NOVO OR NEWLY HEMIZYGOUS; IN REF"
X	MALE	NO	HET	ANY	HOM-VAR	ANY	ANY	ANY	"UNLIKELY DE NOVO OR NEWLY HEMIZYGOUS; IN REF"
X	MALE	NO	HET	ANY	HET	ANY	ANY	ANY	"UNLIKELY NEWLY HEMIZYGOUS; IN REF"
X	MALE	YES	HET	ANY	HOM-VAR	ANY	ANY	ANY	UNLIKELY DE NOVO OR NEWLY HEMIZYGOUS
X	MALE	YES	HET	ANY	HOM-REF	ANY	ANY	ANY	UNLIKELY DE NOVO OR NEWLY HEMIZYGOUS
X	MALE	YES	HET	ANY	HET	ANY	ANY	ANY	UNLIKELY NEWLY HEMIZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HET	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HET	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-REF	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-VAR	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HET	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-REF	>=10	HET	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HOM-VAR	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	YES	HOM-VAR	<10	HET	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HET	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HET	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-REF	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-REF	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-VAR	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-VAR	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HET	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HET	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-VAR	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HET	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	<10	HOM-REF	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
X	FEMALE	NO	HOM-REF	>=10	HOM-REF	<10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
Y	FEMALE	ANY	ANY	ANY	ANY	ANY	ANY	NA	NO FLAG
Y	MALE  	NO	HET	ANY	ANY	ANY	HET	ANY	"UNLIKELY DE NOVO; IN REF"
Y	MALE  	NO	HET	ANY	ANY	ANY	HOM-REF	ANY	UNLIKELY DE NOVO
Y	MALE  	NO	HET	ANY	ANY	ANY	HOM-VAR	ANY	"UNLIKELY DE NOVO; IN REF"
Y	MALE	NO	HOM-REF	ANY	ANY	ANY	HET	ANY	"UNLIKELY DE NOVO; IN REF"
Y	MALE	NO	HOM-REF	ANY	ANY	ANY	HOM-REF	ANY	NO FLAG
Y	MALE	NO	HOM-REF	ANY	ANY	ANY	HOM-VAR	ANY	"DE NOVO; IN REF"
Y	MALE  	YES	HET	ANY	ANY	ANY	HET	ANY	UNLIKELY DE NOVO
Y	MALE  	YES	HET	ANY	ANY	ANY	HOM-REF	ANY	UNLIKELY DE NOVO
Y	MALE  	YES	HET	ANY	ANY	ANY	HOM-VAR	ANY	"UNLIKELY DE NOVO; IN REF"
Y	MALE  	YES	HOM-VAR	ANY	ANY	ANY	HET	ANY	UNLIKELY DE NOVO
Y	MALE  	YES	HOM-VAR	ANY	ANY	ANY	HOM-REF	ANY	DE NOVO
Y	MALE  	YES	HOM-VAR	ANY	ANY	ANY	HOM-VAR	ANY	NO FLAG
MT	MALE OR FEMALE	YES	HOM-VAR	ANY	HOM-REF	>=10	ANY	ANY	DE NOVO
MT	MALE OR FEMALE	YES	HOM-VAR	ANY	HET	>=10	ANY	ANY	POSSIBLY DE NOVO
MT	MALE OR FEMALE	YES	HOM-VAR	ANY	HOM-REF	<10	ANY	ANY	POSSIBLY DE NOVO
MT	MALE OR FEMALE	YES	HOM-VAR	ANY	HOM-VAR	>=10	ANY	ANY	NO FLAG
MT	MALE OR FEMALE	YES	HOM-VAR	ANY	HET	<10	ANY	ANY	POSSIBLY DE NOVO
MT	MALE OR FEMALE	YES	HOM-VAR	ANY	HOM-VAR	<10	ANY	ANY	UNLIKELY DE NOVO
MT	MALE OR FEMALE	NO	HOM-REF	ANY	HOM-VAR	>=10	ANY	ANY	"DE NOVO; IN REF"
MT	MALE OR FEMALE	NO	HOM-REF	ANY	HOM-VAR	<10	ANY	ANY	"POSSIBLY DE NOVO; IN REF"
MT	MALE OR FEMALE	NO	HOM-REF	ANY	HET	>=10	ANY	ANY	"POSSIBLY DE NOVO; IN REF"
MT	MALE OR FEMALE	NO	HOM-REF	ANY	HOM-REF	>=10	ANY	ANY	NO FLAG
MT	MALE OR FEMALE	NO	HOM-REF	ANY	HET	<10	ANY	ANY	"POSSIBLY DE NOVO; IN REF"
MT	MALE OR FEMALE	NO	HOM-REF	ANY	HOM-REF	<10	ANY	ANY	"UNLIKELY DE NOVO; IN REF"
MT	MALE OR FEMALE	NO	HET	ANY	HOM-REF	ANY	ANY	ANY	"UNLIKELY DE NOVO; IN REF"
MT	MALE OR FEMALE	NO	HET	ANY	HOM-VAR	ANY	ANY	ANY	"POSSIBLY DE NOVO; IN REF"
